iter	Passed	Remaining
1231	17124	10674
1232	17136	10660
1233	17148	10644
1234	17163	10631
1235	17177	10617
1236	17194	10605
1237	17210	10593
1238	17225	10580
1239	17239	10566
1240	17252	10551
1241	17265	10537
1242	17279	10523
1243	17296	10511
1244	17310	10497
1245	17323	10483
1246	17336	10468
1247	17350	10454
1248	17366	10442
1249	17378	10427
1250	17392	10413
1251	17409	10401
1252	17423	10387
1253	17435	10372
1254	17450	10359
1255	17464	10345
1256	17478	10331
1257	17491	10316
1258	17508	10305
1259	17521	10290
1260	17538	10278
1261	17552	10264
1262	17566	10250
1263	17578	10235
1264	17591	10221
1265	17606	10207
1266	17624	10196
1267	17637	10181
1268	17650	10167
1269	17662	10152
1270	17679	10140
1271	17695	10127
1272	17708	10113
1273	17722	10099
1274	17734	10084
1275	17747	10069
1276	17759	10054
1277	17770	10039
1278	17783	10024
1279	17800	10012
1280	17814	9999
1281	17828	9985
1282	17843	9972
1283	17858	9958
1284	17871	9944
1285	17885	9930
1286	17897	9915
1287	17914	9902
1288	17927	9888
1289	17943	9875
1290	17956	9861
1291	17970	9847
1292	17987	9835
1293	18001	9821
1294	18015	9807
1295	18028	9793
1296	18045	9781
1297	18058	9766
1298	18071	9752
1299	18083	9737
1300	18098	9724
1301	18112	9709
1302	18126	9696
1303	18138	9681
1304	18150	9666
1305	18163	9651
1306	18174	9636
1307	18187	9621
1308	18201	9608
1309	18217	9595
1310	18230	9580
1311	18242	9566
1312	18255	9551
1313	18273	9539
1314	18286	9525
1315	18301	9512
1316	18315	9498
1317	18330	9485
1318	18347	9473
1319	18360	9458
1320	18372	9443
1321	18384	9428
1322	18399	9415
1323	18419	9404
1324	18432	9390
1325	18448	9377
1326	18460	9362
1327	18474	9348
1328	18492	9336
1329	18504	9321
1330	18516	9307
1331	18528	9292
1332	18542	9278
1333	18557	9264
1334	18571	9251
1335	18583	9236
1336	18600	9223
1337	18613	9209
1338	18631	9197
1339	18643	9182
1340	18656	9168
1341	18673	9155
1342	18685	9141
1343	18701	9128
1344	18713	9113
1345	18725	9098
1346	18736	9083
1347	18753	9070
1348	18769	9057
1349	18781	9042
1350	18794	9028
1351	18808	9014
1352	18821	9000
1353	18833	8985
1354	18844	8970
1355	18857	8955
1356	18875	8944
1357	18887	8929
1358	18899	8914
1359	18912	8899
1360	18924	8885
1361	18937	8870
1362	18951	8857
1363	18964	8842
1364	18980	8829
1365	18996	8816
1366	19009	8802
1367	19022	8787
1368	19035	8773
1369	19049	8760
1370	19066	8747
1371	19082	8734
1372	19095	8720
1373	19110	8706
1374	19125	8693
1375	19137	8678
1376	19151	8664
1377	19164	8650
1378	19179	8637
1379	19193	8623
1380	19210	8610
1381	19226	8597
1382	19242	8584
1383	19255	8570
1384	19267	8555
1385	19281	8541
1386	19295	8527
1387	19307	8513
1388	19319	8498
1389	19336	8485
1390	19350	8472
1391	19364	8458
1392	19384	8446
1393	19397	8432
1394	19410	8418
1395	19422	8403
1396	19436	8389
1397	19455	8377
1398	19469	8363
1399	19484	8350
1400	19496	8335
1401	19512	8322
1402	19524	8307
1403	19537	8293
1404	19551	8279
1405	19563	8265
1406	19578	8251
1407	19591	8237
1408	19608	8224
1409	19620	8209
1410	19633	8195
1411	19648	8182
1412	19661	8168
1413	19677	8154
1414	19689	8140
1415	19704	8126
1416	19719	8113
1417	19732	8098
1418	19743	8084
1419	19755	8069
1420	19767	8054
1421	19781	8040
1422	19792	8025
1423	19804	8010
1424	19817	7996
1425	19829	7982
1426	19844	7968
1427	19857	7954
1428	19874	7941
1429	19887	7927
1430	19899	7912
1431	19912	7898
1432	19927	7884
1433	19942	7871
1434	19959	7858
1435	19974	7845
1436	19990	7831
1437	20002	7817
1438	20014	7802
1439	20029	7789
1440	20044	7775
1441	20056	7761
1442	20068	7746
1443	20085	7733
1444	20101	7720
1445	20117	7707
1446	20128	7692
1447	20144	7679
1448	20159	7666
1449	20175	7652
1450	20194	7640
1451	20209	7627
1452	20226	7614
1453	20238	7599
1454	20252	7585
1455	20268	7572
1456	20280	7558
